,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
Olt,-1.1806849511180197,-0.48694215250326994,1.6490538950286278,0.1826202374830906,0.6508275649921209,0.5120482068486943,-0.036725179778660404,0.022245399920495137,-0.0856469154217074,-0.2041021967543874,-0.18263235931110505,0.16086401996033603,-0.03565602276836696,-0.1514157413790684,-0.09316863446558674,-0.10532146014068264,0.02065862720468495,4.710772231611509e-05
Prahova,2.254479028812589,1.089022863233881,0.1763967288816679,-0.5771274275351752,0.1372408849272396,0.019927613228930625,-0.8084722634677975,-0.22000004725652234,0.3559617241264766,-0.5192430654108507,-0.0029537078922999317,-0.004917881408109186,0.006390331056809132,-0.014746264918196651,0.019277355832882596,0.010735222686105543,0.010485571325441716,7.636884349244195e-05
Salaj,-2.68014329396274,-1.6796608670693376,-0.2616692804102821,-1.1248365381575482,0.9409382355067046,0.3699662487879999,0.3947181312414324,0.04674374529201246,0.015515744725598258,0.010207372667798654,-0.005610130286083221,-0.05005141199987892,0.05220172481020079,-0.038823152760673746,0.08544684836809244,-0.06061142613806239,0.003441465451960804,-3.634440155468793e-05
Satu Mare,-1.5483011419394583,-1.491724997713977,-1.0645373457431764,-0.48394202932262287,-0.4175192035409727,-0.030021946011376692,0.5286547158989102,-0.05866360719269226,0.09349776289294351,-0.11047174438341986,0.03538385288475695,0.015241136044794868,0.014790427856815811,-0.044203681967320635,-0.10885732111996294,-0.07993700201780035,0.0056879024388436375,-6.0367019252614436e-05
Sibiu,-0.0004237633061429757,-0.25299616468600994,-0.7715239165944193,1.3840562746652032,-0.02746410635218138,0.5565158314955728,0.3774972038419825,-0.2670342140665031,-0.1159857178093655,-0.17974959926968603,0.020773807650381396,0.08789439956661885,-0.05371136678306886,-0.0034660446520040885,0.12301228446703748,-0.04381200630403397,0.007996371686693144,-0.0001328004293072497
Suceava,1.0802376492512171,-4.381870200733496,1.2616347460629613,-0.40570721619807293,-0.37314175179005665,-0.48329493855727956,-0.44447190027392325,0.18652067612878961,-0.03398049079748999,0.12176498056501758,-0.13032116171779065,-0.14790251407516036,-0.020481464515801847,-0.08678092878150107,0.19689237331602252,-0.022568732541375387,0.0028659655829823987,-8.686269414095714e-06
Teleorman,-1.7830600487049242,2.5746929147029425,2.4199973329542215,-1.0954180556655833,0.1815450661743187,0.327927945967466,-0.22784441102253855,0.15421069082605252,-0.03607865883656463,0.18322111737096697,-0.3331757854115749,0.10141065553242908,-0.03184902880152694,-0.010972482535762587,-0.0010936920533527327,0.00405269975614732,-0.007076203356876598,-6.50812559932149e-05
Timis,3.184008117950749,0.6202550644859522,-2.064873018059638,0.28215031258150003,0.05356381590779786,0.719116942909529,-0.13758072196901855,-0.06407766561162552,0.21436377284419092,0.3083868798325617,-0.034236603666082256,-0.1379413298394826,-0.02573469600200153,-0.019466700311837087,-0.06930652524458815,-0.031098703154477995,0.02409725745652397,0.00019304839482804523
Tulcea,-2.7328070503294586,1.6638364868465836,-0.059741274280852186,1.5069959479430077,0.05626416034803046,-0.09164839959419444,0.25939289261518583,-0.08311866178824584,-0.39332921538811966,-0.06206380842372545,0.10177420975225733,-0.024283805135299506,-0.04756624692790417,-0.1683163420854461,-0.023484082975534462,-0.026423248537809155,0.01827014721598195,9.873088622758699e-05
Valcea,-1.4713665163712946,1.116017163946431,1.0590500091815296,0.5550663080225103,0.9121808049363818,-0.48708590700248666,0.27321493119303913,-0.19857650595400825,0.15097551752224567,-0.01726474002130969,-0.04993440015630471,-0.0832008816068928,-0.22458921947584623,-0.1094265963584349,-0.0065915471097660805,0.10198430997211076,0.014625297480348905,0.0001572069716554103
Vaslui,-1.379178746360271,-1.6977159297887288,0.41644198058201815,-0.9714016935173676,-0.897455670856013,0.11008885667658841,0.2134385545163838,-0.046610000746517756,-0.013452707471872502,0.03317470779585975,0.01828190657509475,0.058591878712992665,0.04344717453905859,-0.06323890618026812,-0.0254324379343462,-0.07128812204618479,0.005382118045423519,1.6617498562277156e-05
Vrancea,-1.6267283906475445,1.5730028411563268,0.03288543126793609,-0.2521170989431602,-0.4927785794091111,-0.4350591816628601,0.08463402631101914,-0.04251180563194777,-0.018162017134040233,0.3281323941985201,0.18900672415629333,0.11012456778333328,-0.08095178367343911,-0.1613218856761431,0.05047082854869209,0.03663542359053901,-0.022926033934825413,5.93542106948134e-05
